"p","r_droplet_actual","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
20276,0,1,0,0,0.01,0.03785
20280,0,1,0.00075,0.00075,0.01,0.03785
20278,0,1,0.0015,0.0015,0.01,0.03785
20276,0,1,0.00225,0.00225,0.01,0.03785
20275,0,1,0.003,0.003,0.01,0.03785
20273,0,1,0.00375,0.00375,0.01,0.03785
20271,0,1,0.0045,0.0045,0.01,0.03785
20269,0,1,0.00525,0.00525,0.01,0.03785
20268,0,1,0.006,0.006,0.01,0.03785
20264,0,1,0.00675,0.00675,0.01,0.03785
20261,0,1,0.0075,0.0075,0.01,0.03785
20257,0,1,0.00825,0.00825,0.01,0.03785
20253,0,1,0.009,0.009,0.01,0.03785
20249,0,1,0.00975,0.00975,0.01,0.03785
20246,0,1,0.0105,0.0105,0.01,0.03785
20242,0,1,0.01125,0.01125,0.01,0.03785
20238,0,1,0.012,0.012,0.01,0.03785
20235,0,1,0.01275,0.01275,0.01,0.03785
20232,0,1,0.0135,0.0135,0.01,0.03785
20230,0,1,0.01425,0.01425,0.01,0.03785
20227,0,1,0.015,0.015,0.01,0.03785
20225,0,1,0.01575,0.01575,0.01,0.03785
20222,0,1,0.0165,0.0165,0.01,0.03785
20220,0,1,0.01725,0.01725,0.01,0.03785
20218,0,1,0.018,0.018,0.01,0.03785
20215,0,1,0.01875,0.01875,0.01,0.03785
20212,0,1,0.0195,0.0195,0.01,0.03785
20209,0,1,0.02025,0.02025,0.01,0.03785
20207,0,1,0.021,0.021,0.01,0.03785
20204,0,1,0.02175,0.02175,0.01,0.03785
20201,0,1,0.0225,0.0225,0.01,0.03785
20198,0,1,0.02325,0.02325,0.01,0.03785
20196,0,1,0.024,0.024,0.01,0.03785
20193,0,1,0.02475,0.02475,0.01,0.03785
20190,0,1,0.0255,0.0255,0.01,0.03785
20187,0,1,0.02625,0.02625,0.01,0.03785
20183,0,1,0.027,0.027,0.01,0.03785
20180,0,1,0.02775,0.02775,0.01,0.03785
20177,0,1,0.0285,0.0285,0.01,0.03785
20174,0,1,0.02925,0.02925,0.01,0.03785
20171,0,1,0.03,0.03,0.01,0.03785
20168,0,1,0.03075,0.03075,0.01,0.03785
20164,0,1,0.0315,0.0315,0.01,0.03785
20161,0,1,0.03225,0.03225,0.01,0.03785
20157,0,1,0.033,0.033,0.01,0.03785
20153,0,1,0.03375,0.03375,0.01,0.03785
20149,0,1,0.0345,0.0345,0.01,0.03785
20145,0,1,0.03525,0.03525,0.01,0.03785
20142,0,1,0.036,0.036,0.01,0.03785
20138,0,1,0.03675,0.03675,0.01,0.03785
20134,0,1,0.0375,0.0375,0.01,0.03785
20129,0,1,0.03825,0.03825,0.01,0.03785
20124,0,1,0.039,0.039,0.01,0.03785
20119,0,1,0.03975,0.03975,0.01,0.03785
20115,0,1,0.0405,0.0405,0.01,0.03785
20110,0,1,0.04125,0.04125,0.01,0.03785
20105,0,1,0.042,0.042,0.01,0.03785
20100,0,1,0.04275,0.04275,0.01,0.03785
20095,0,1,0.0435,0.0435,0.01,0.03785
20089,0,1,0.04425,0.04425,0.01,0.03785
20083,0,1,0.045,0.045,0.01,0.03785
20077,0,1,0.04575,0.04575,0.01,0.03785
20071,0,1,0.0465,0.0465,0.01,0.03785
20065,0,1,0.04725,0.04725,0.01,0.03785
20059,0,1,0.048,0.048,0.01,0.03785
20053,0,1,0.04875,0.04875,0.01,0.03785
20047,0,1,0.0495,0.0495,0.01,0.03785
20040,0,1,0.05025,0.05025,0.01,0.03785
20032,0,1,0.051,0.051,0.01,0.03785
20024,0,1,0.05175,0.05175,0.01,0.03785
20016,0,1,0.0525,0.0525,0.01,0.03785
20008,0,1,0.05325,0.05325,0.01,0.03785
20000,0,1,0.054,0.054,0.01,0.03785
19992,0,1,0.05475,0.05475,0.01,0.03785
19984,0,1,0.0555,0.0555,0.01,0.03785
19976,0,1,0.05625,0.05625,0.01,0.03785
19967,0,1,0.057,0.057,0.01,0.03785
19957,0,1,0.05775,0.05775,0.01,0.03785
19948,0,1,0.0585,0.0585,0.01,0.03785
19938,0,1,0.05925,0.05925,0.01,0.03785
19929,0,1,0.06,0.06,0.01,0.03785
19919,0,1,0.06075,0.06075,0.01,0.03785
19909,0,1,0.0615,0.0615,0.01,0.03785
19900,0,1,0.06225,0.06225,0.01,0.03785
19890,0,1,0.063,0.063,0.01,0.03785
19880,0,1,0.06375,0.06375,0.01,0.03785
19870,0,1,0.0645,0.0645,0.01,0.03785
19860,0,1,0.06525,0.06525,0.01,0.03785
19850,0,1,0.066,0.066,0.01,0.03785
19839,0,1,0.06675,0.06675,0.01,0.03785
19829,0,1,0.0675,0.0675,0.01,0.03785
19819,0,1,0.06825,0.06825,0.01,0.03785
19809,0,1,0.069,0.069,0.01,0.03785
19799,0,1,0.06975,0.06975,0.01,0.03785
19788,0,1,0.0705,0.0705,0.01,0.03785
19777,0,1,0.07125,0.07125,0.01,0.03785
19765,0,1,0.072,0.072,0.01,0.03785
19754,0,1,0.07275,0.07275,0.01,0.03785
19743,0,1,0.0735,0.0735,0.01,0.03785
19732,0,1,0.07425,0.07425,0.01,0.03785
19721,0,1,0.075,0.075,0.01,0.03785
19709,0,1,0.07575,0.07575,0.01,0.03785
19698,0,1,0.0765,0.0765,0.01,0.03785
19687,0,1,0.07725,0.07725,0.01,0.03785
19675,0,1,0.078,0.078,0.01,0.03785
19663,0,1,0.07875,0.07875,0.01,0.03785
19651,0,1,0.0795,0.0795,0.01,0.03785
19639,0,1,0.08025,0.08025,0.01,0.03785
19628,0,1,0.081,0.081,0.01,0.03785
19616,0,1,0.08175,0.08175,0.01,0.03785
19604,0,1,0.0825,0.0825,0.01,0.03785
19592,0,1,0.08325,0.08325,0.01,0.03785
19580,0,1,0.084,0.084,0.01,0.03785
19568,0,1,0.08475,0.08475,0.01,0.03785
19555,0,1,0.0855,0.0855,0.01,0.03785
19543,0,1,0.08625,0.08625,0.01,0.03785
19530,0,1,0.087,0.087,0.01,0.03785
19518,0,1,0.08775,0.08775,0.01,0.03785
19506,0,1,0.0885,0.0885,0.01,0.03785
19493,0,1,0.08925,0.08925,0.01,0.03785
19481,0,1,0.09,0.09,0.01,0.03785
19468,0,1,0.09075,0.09075,0.01,0.03785
19455,0,1,0.0915,0.0915,0.01,0.03785
19442,0,1,0.09225,0.09225,0.01,0.03785
19429,0,1,0.093,0.093,0.01,0.03785
19416,0,1,0.09375,0.09375,0.01,0.03785
19404,0,1,0.0945,0.0945,0.01,0.03785
19391,0,1,0.09525,0.09525,0.01,0.03785
19378,0,1,0.096,0.096,0.01,0.03785
